Objects
100
,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
4243,0,0.00328436,0.00674651,1.55431,-1878.9,2509,8.55772
4244,0,0.0036845,0.00667757,1.55434,-1878.91,2509.01,8.55153
4245,0,0.00355023,0.00677342,1.55425,-1878.9,2509.01,8.55162
4246,0,0.00342655,0.0066988,1.5543,-1878.9,2509,8.54911
4247,0,0.00368232,0.00667352,1.55437,-1878.9,2509,8.54416
4248,0,0.00375442,0.00676554,1.55431,-1878.91,2509.01,8.54919
4249,0,0.00398536,0.00662652,1.55443,-1878.9,2509.01,8.54502
4250,0,0.00400821,0.00665608,1.55444,-1878.9,2509.01,8.54104
4251,0,0.00381007,0.00669547,1.55438,-1878.9,2509.01,8.54255
4252,0,0.00370177,0.00678685,1.55436,-1878.91,2509,8.54793
4253,0,0.00349092,0.00671166,1.55433,-1878.9,2509,8.55396
4254,0,0.00352508,0.00659385,1.55437,-1878.9,2509.01,8.55408
4255,0,0.00346319,0.00669944,1.55437,-1878.9,2509,8.55509
4256,0,0.00315596,0.00682632,1.55428,-1878.9,2509,8.56085
4257,0,0.00294344,0.00683832,1.55421,-1878.89,2509,8.56186
4258,0,0.00350162,0.00686185,1.55421,-1878.91,2509.01,8.55924
4259,0,0.0037172,0.00670756,1.55437,-1878.91,2509,8.55072
4260,0,0.00360664,0.00673724,1.55433,-1878.91,2509,8.55224
4261,0,0.00324386,0.0066771,1.55438,-1878.9,2509,8.55545
4262,0,0.00134864,0.00658403,1.55454,-1878.85,2508.96,8.55406
4263,0,0.00221067,0.00667941,1.55447,-1878.87,2508.97,8.55495
4264,0,0.0026213,0.00665164,1.55451,-1878.88,2508.99,8.554
4265,0,0.00290712,0.0066098,1.55442,-1878.89,2508.99,8.55791
4266,0,0.00302391,0.00671421,1.55435,-1878.89,2508.99,8.55334
4267,0,0.00148807,0.00651639,1.55452,-1878.85,2508.96,8.55446
4268,0,0.00219365,0.00660468,1.55441,-1878.87,2508.98,8.55202
4269,0,0.00248951,0.0066501,1.5544,-1878.89,2508.98,8.55682
4270,0,0.00279998,0.00668005,1.55436,-1878.89,2508.99,8.55607
4271,0,0.00299374,0.00664341,1.55447,-1878.89,2509,8.55349
4272,0,0.00310663,0.00676054,1.5544,-1878.9,2509,8.55967
4273,0,0.00324576,0.00672642,1.55441,-1878.9,2509,8.55901
4274,0,0.00356425,0.00676875,1.55443,-1878.9,2509,8.5546
4275,0,0.00365477,0.00681063,1.55437,-1878.91,2509.01,8.55602
4276,0,0.00374746,0.0067066,1.55439,-1878.9,2509.01,8.55381
4277,0,0.00336161,0.00676688,1.55428,-1878.9,2509,8.55562
4278,0,0.00359657,0.00657455,1.55443,-1878.9,2509,8.54674
4279,0,0.00344719,0.00665503,1.55438,-1878.9,2509,8.55218
4280,0,0.00346124,0.00665806,1.55433,-1878.9,2509,8.5537
4281,0,0.0035183,0.00672986,1.55438,-1878.9,2509,8.55456
4282,0,0.00345045,0.00682363,1.55437,-1878.9,2509,8.5528
4283,0,0.0016531,0.00661099,1.55451,-1878.85,2508.96,8.55323
4284,0,0.00243126,0.00666336,1.55443,-1878.87,2508.98,8.55503
4285,0,0.0026446,0.00676892,1.55438,-1878.89,2508.98,8.55655
4286,0,0.00286909,0.00673729,1.55435,-1878.89,2508.99,8.55643
4287,0,0.00318617,0.00682553,1.5543,-1878.9,2508.99,8.55542
4288,0,0.00337874,0.00674259,1.5544,-1878.9,2509,8.55514
4289,0,0.00359603,0.0066956,1.55441,-1878.9,2509,8.55162
4290,0,0.00365493,0.00673203,1.5543,-1878.91,2508.98,8.54998
4291,0,0.00385562,0.00669361,1.55435,-1878.91,2508.99,8.55305
4292,0,0.00364157,0.00676249,1.55431,-1878.91,2508.99,8.55429
4293,0,0.00342495,0.00674974,1.55435,-1878.91,2509,8.55671
4294,0,0.00352788,0.00674403,1.55428,-1878.91,2509,8.55446
4295,0,0.0035353,0.00673056,1.55433,-1878.91,2509,8.55059
4296,0,0.00365332,0.00682029,1.55426,-1878.91,2509,8.55424
4297,0,0.00375733,0.00679854,1.55427,-1878.91,2509,8.54932
4298,0,0.00375785,0.00684208,1.55429,-1878.91,2509,8.5537
4299,0,0.00343235,0.00680889,1.55427,-1878.91,2509,8.55641
4300,0,0.00348383,0.00667046,1.55433,-1878.9,2509,8.55115
4301,0,0.00360829,0.00667428,1.55437,-1878.9,2508.99,8.54332
4302,0,0.00340373,0.00680882,1.55429,-1878.9,2509,8.54984
4303,0,0.0035252,0.00680019,1.55428,-1878.9,2509,8.55261
4304,0,0.00344393,0.00664219,1.55438,-1878.9,2509,8.54955
4305,0,0.00179319,0.00644811,1.55461,-1878.85,2508.96,8.55149
4306,0,0.00249108,0.00663953,1.55445,-1878.87,2508.98,8.55373
4307,0,0.00278306,0.00662401,1.55443,-1878.88,2508.99,8.5519
4308,0,0.00298772,0.00665479,1.55441,-1878.89,2509,8.5551
4309,0,0.000926799,0.00657325,1.5545,-1878.83,2508.96,8.56092
4310,0,0.0019157,0.00667367,1.55444,-1878.86,2508.97,8.55393
4311,0,0.0026457,0.00669958,1.55443,-1878.88,2508.98,8.55077
4312,0,0.0029944,0.00668558,1.5544,-1878.89,2509,8.55612
4313,0,0.00313434,0.00670237,1.55436,-1878.89,2509,8.55552
4314,0,0.00359394,0.00671575,1.55431,-1878.91,2508.99,8.55328
4315,0,0.00369588,0.00673966,1.5543,-1878.91,2509,8.55469
4316,0,0.0033267,0.00679746,1.55428,-1878.9,2508.99,8.55395
4317,0,0.00346078,0.00675524,1.55435,-1878.9,2509,8.54993
