Objects,,,,,,,
100,,,,,,,
,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
3780,0,0.00675598,-0.028968,-1.60794,3011.87,-2508.57,5.65575
3781,0,0.00696877,-0.0291885,-1.6076,3011.86,-2508.57,5.65821
3782,0,0.00742506,-0.0298566,-1.6078,3011.95,-2508.61,5.66499
3783,0,0.00753871,-0.0302373,-1.60819,3012.03,-2508.66,5.65718
3784,0,0.00751748,-0.0302048,-1.60805,3011.94,-2508.62,5.68303
3785,0,0.0072696,-0.0311174,-1.60849,3012.02,-2508.71,5.6555
3786,0,0.00691605,-0.029093,-1.60944,3012,-2508.7,5.67077
3787,0,0.00723275,-0.0294502,-1.60909,3012.03,-2508.73,5.64219
3788,0,0.00692708,-0.0292064,-1.60837,3011.94,-2508.64,5.65051
3789,0,0.00714496,-0.0294644,-1.60788,3011.92,-2508.6,5.6654
3790,0,0.00734566,-0.0296223,-1.60762,3011.92,-2508.59,5.69351
3791,0,0.00754206,-0.0294921,-1.60771,3011.9,-2508.58,5.67505
3792,0,0.00751272,-0.0308452,-1.60774,3011.97,-2508.66,5.65169
3793,0,0.00752185,-0.0307041,-1.6077,3011.96,-2508.65,5.67711
3794,0,0.00728113,-0.030368,-1.60828,3012.03,-2508.7,5.6461
3795,0,0.00741279,-0.0289806,-1.60834,3012.03,-2508.69,5.67516
3796,0,0.00757818,-0.029137,-1.60796,3011.97,-2508.63,5.69526
3797,0,0.00769124,-0.0298291,-1.60777,3011.94,-2508.6,5.70196
3798,0,0.00762317,-0.0293021,-1.608,3011.96,-2508.61,5.6889
3799,0,0.00741332,-0.029539,-1.60812,3011.98,-2508.63,5.70359
3800,0,0.007364,-0.0304608,-1.60804,3012.01,-2508.67,5.67611
3801,0,0.00732566,-0.0301843,-1.60858,3011.96,-2508.63,5.67212
3802,0,0.00729115,-0.0285524,-1.60802,3011.91,-2508.6,5.64265
3803,0,0.00742689,-0.0293636,-1.60776,3011.94,-2508.6,5.64248
3804,0,0.007454,-0.030091,-1.60783,3011.94,-2508.62,5.65559
3805,0,0.00711425,-0.0294601,-1.60824,3012,-2508.65,5.63594
3806,0,0.00711579,-0.0294962,-1.60841,3012.03,-2508.68,5.64386
3807,0,0.00749148,-0.0296738,-1.60849,3012.03,-2508.68,5.67212
3808,0,0.0073681,-0.0293508,-1.60866,3012.04,-2508.71,5.6584
3809,0,0.00731365,-0.0289656,-1.60877,3011.94,-2508.6,5.6733
3810,0,0.00760246,-0.0298834,-1.60837,3011.92,-2508.59,5.68596
3811,0,0.00732728,-0.0294283,-1.60834,3011.95,-2508.65,5.66004
3812,0,0.00747593,-0.0301705,-1.60825,3012,-2508.68,5.6415
3813,0,0.00763153,-0.029641,-1.60782,3011.97,-2508.64,5.64103
3814,0,0.00715442,-0.0307306,-1.60825,3012.03,-2508.71,5.62604
3815,0,0.00687272,-0.0299452,-1.60819,3011.97,-2508.67,5.60846
3816,0,0.0070911,-0.0300616,-1.60792,3011.92,-2508.63,5.62614
3817,0,0.00706819,-0.0301024,-1.60773,3011.88,-2508.6,5.64631
3818,0,0.00715761,-0.0293344,-1.60801,3011.93,-2508.64,5.66947
3819,0,0.00706832,-0.030959,-1.6081,3011.96,-2508.65,5.66484
3820,0,0.00698565,-0.0308193,-1.60867,3012.02,-2508.67,5.65156
3821,0,0.00700958,-0.030502,-1.60824,3012,-2508.66,5.67779
3822,0,0.00714871,-0.0303389,-1.60839,3012.04,-2508.67,5.68012
3823,0,0.00696134,-0.0295712,-1.60769,3011.95,-2508.57,5.68063
3824,0,0.00706551,-0.0284737,-1.60784,3011.96,-2508.61,5.67237
3825,0,0.00699125,-0.0288828,-1.60786,3011.98,-2508.62,5.66409
3826,0,0.00698114,-0.0285306,-1.60851,3012.01,-2508.65,5.65978
3827,0,0.00598454,-0.035697,-1.60838,3012.17,-2508.84,5.48658
3828,0,0.00685308,-0.0194419,-1.60487,3011.54,-2508.26,5.71006
3829,0,0.00685654,-0.0231425,-1.60584,3011.66,-2508.41,5.65979
3830,0,0.00725239,-0.0250143,-1.6066,3011.74,-2508.44,5.72256
3831,0,0.007446,-0.0266411,-1.60689,3011.87,-2508.52,5.67815
3832,0,0.00752781,-0.0263643,-1.60741,3011.89,-2508.53,5.66355
3833,0,0.00752845,-0.0265114,-1.60763,3011.94,-2508.57,5.65524
3834,0,0.00745146,-0.0270912,-1.60773,3011.91,-2508.56,5.6487
3835,0,0.00726352,-0.027676,-1.60833,3012,-2508.65,5.63555
3836,0,0.00735366,-0.0278161,-1.60822,3012.01,-2508.65,5.65191
3837,0,0.00735204,-0.0295002,-1.60795,3012.01,-2508.64,5.65449
3838,0,0.00705125,-0.0297793,-1.60816,3012.02,-2508.66,5.66026
3839,0,0.00707111,-0.0301435,-1.60825,3012.03,-2508.69,5.65559
3840,0,0.00717123,-0.0298704,-1.60858,3012.03,-2508.68,5.67735
3841,0,0.0070584,-0.0299621,-1.60854,3012.05,-2508.69,5.67607
3842,0,0.00676137,-0.0294842,-1.60859,3012.03,-2508.66,5.68652
3843,0,0.00709831,-0.0299744,-1.6078,3011.98,-2508.61,5.68206
3844,0,0.00732801,-0.0294887,-1.60804,3011.93,-2508.57,5.68309
3845,0,0.00697837,-0.0287635,-1.60874,3011.97,-2508.62,5.65844
3846,0,0.00703532,-0.0287679,-1.60907,3012.01,-2508.67,5.65075
3847,0,0.0071299,-0.0286141,-1.6085,3011.96,-2508.63,5.66027
3848,0,0.00728343,-0.0283339,-1.60866,3011.98,-2508.65,5.66448
3849,0,0.00721339,-0.0281891,-1.60812,3011.91,-2508.6,5.64649
3850,0,0.00732251,-0.0275494,-1.6083,3011.94,-2508.62,5.65309
3851,0,0.00735348,-0.0278608,-1.60787,3011.98,-2508.64,5.65703
3852,0,0.00712121,-0.029201,-1.60814,3012,-2508.68,5.66743
3853,0,0.00717048,-0.0294039,-1.60811,3012,-2508.68,5.66595
3854,0,0.00696153,-0.0297501,-1.60812,3012.03,-2508.71,5.64102
3855,0,0.00709631,-0.0307218,-1.60819,3012.05,-2508.73,5.65109
3856,0,0.0072917,-0.029253,-1.60774,3011.95,-2508.62,5.6587
3857,0,0.00749876,-0.029557,-1.6082,3012.02,-2508.66,5.64789
3858,0,0.00767661,-0.0300111,-1.60821,3012.03,-2508.66,5.66543
3859,0,0.00756747,-0.0305056,-1.60817,3012.03,-2508.67,5.66588
3860,0,0.00739281,-0.0292908,-1.60842,3012.03,-2508.67,5.67622
3861,0,0.00744195,-0.0288862,-1.60771,3011.95,-2508.6,5.66945
3862,0,0.00744223,-0.0278937,-1.60739,3011.92,-2508.6,5.65421
3863,0,0.00730626,-0.0277893,-1.60772,3011.96,-2508.63,5.64931
3864,0,0.00740131,-0.0288854,-1.60794,3012.01,-2508.67,5.6384
3865,0,0.00742106,-0.0300121,-1.60812,3012.03,-2508.68,5.64118
3866,0,0.00732451,-0.0306376,-1.60843,3012.05,-2508.7,5.63848
3867,0,0.00729273,-0.0289912,-1.60878,3012.06,-2508.72,5.64465
3868,0,0.0072911,-0.0301694,-1.60879,3012.06,-2508.7,5.65457
3869,0,0.00748385,-0.0299588,-1.60821,3012.02,-2508.67,5.65504
3870,0,0.0071938,-0.0292044,-1.60848,3012.04,-2508.69,5.64303
3871,0,0.00697668,-0.0295548,-1.60883,3012.03,-2508.72,5.66594
3872,0,0.0072685,-0.0294602,-1.60811,3011.95,-2508.64,5.6998
