Objects
100
,,Global Angle Racer400:Racer400,,,,,,Global Angle Tello_FCF6BF:Tello_FCF6BF,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
4816,0,0.00135211,-0.0113368,1.94784,-3129.49,6360.5,754.231,-0.0297486,0.0461753,1.53047,-1894.62,2478.89,19.9971
4817,0,0.000810755,-0.0113391,1.94716,-3129.47,6360.48,754.295,-0.029854,0.0463277,1.53053,-1894.62,2478.91,20.0009
4818,0,0.000503793,-0.0115669,1.94735,-3129.43,6360.51,754.291,-0.0297173,0.0461664,1.53053,-1894.61,2478.91,20.0058
4819,0,0.00154909,-0.0120102,1.94801,-3129.58,6360.54,754.288,-0.0298356,0.0462648,1.53045,-1894.62,2478.9,20.0025
4820,0,0.000438923,-0.0114048,1.94744,-3129.46,6360.48,754.287,-0.0297683,0.0462826,1.53047,-1894.62,2478.9,20.0019
4821,0,0.00194781,-0.011592,1.94763,-3129.54,6360.55,754.315,-0.0298201,0.0463695,1.53042,-1894.61,2478.91,20.0008
4822,0,0.000385043,-0.0113152,1.94704,-3129.43,6360.47,754.27,-0.029887,0.0462589,1.53051,-1894.61,2478.89,19.9976
4823,0,0.000720147,-0.0116452,1.9476,-3129.52,6360.51,754.296,-0.0297343,0.0462144,1.53058,-1894.61,2478.89,19.9973
4824,0,0.000476644,-0.0114644,1.9474,-3129.58,6360.5,754.254,-0.0297433,0.0462819,1.53042,-1894.6,2478.9,19.9935
4825,0,0.000722697,-0.0112623,1.94737,-3129.53,6360.5,754.32,-0.0298116,0.0461991,1.53051,-1894.61,2478.91,19.9988
4826,0,0.000608924,-0.0113286,1.94781,-3129.49,6360.5,754.277,-0.0297612,0.0461624,1.5304,-1894.61,2478.91,19.9966
4827,0,0.000614327,-0.0110928,1.94715,-3129.53,6360.48,754.253,-0.0298132,0.0462064,1.53052,-1894.61,2478.9,19.9916
4828,0,0.000428907,-0.011935,1.94733,-3129.53,6360.51,754.271,-0.029966,0.0462749,1.53044,-1894.61,2478.9,19.9927
4829,0,0.000427158,-0.0112902,1.94738,-3129.48,6360.48,754.275,-0.0298625,0.0461214,1.53054,-1894.61,2478.9,19.989
4830,0,0.000871234,-0.0115486,1.94736,-3129.54,6360.5,754.306,-0.0299894,0.0463733,1.53049,-1894.6,2478.89,19.9896
4831,0,0.00176179,-0.0115376,1.94772,-3129.6,6360.53,754.232,-0.0300066,0.0462536,1.5305,-1894.61,2478.89,19.9842
4832,0,0.000269401,-0.0117459,1.94751,-3129.5,6360.48,754.225,-0.0298177,0.0461239,1.53054,-1894.6,2478.91,19.9997
4833,0,0.00168496,-0.0121965,1.94767,-3129.49,6360.58,754.291,-0.0295959,0.0461671,1.53047,-1894.61,2478.91,20
4834,0,0.00161079,-0.0118927,1.94788,-3129.39,6360.58,754.302,-0.029874,0.046183,1.53045,-1894.6,2478.9,19.9905
4835,0,0.000658374,-0.0115464,1.94744,-3129.46,6360.51,754.292,-0.0299073,0.0462831,1.53052,-1894.61,2478.89,19.9967
4836,0,0.000630078,-0.0113223,1.94752,-3129.49,6360.49,754.262,-0.0296952,0.0463739,1.53043,-1894.61,2478.91,19.9966
4837,0,0.000721107,-0.011148,1.94726,-3129.48,6360.48,754.271,-0.0298749,0.0462182,1.53048,-1894.6,2478.91,20.0001
4838,0,0.00150938,-0.0121285,1.94757,-3129.49,6360.56,754.283,-0.029827,0.0461537,1.53046,-1894.6,2478.9,19.9983
4839,0,0.000115191,-0.0114516,1.94755,-3129.53,6360.49,754.2,-0.0298481,0.046263,1.5305,-1894.6,2478.89,19.9926
4840,0,0.000379624,-0.0118682,1.94767,-3129.54,6360.53,754.283,-0.0296621,0.0461627,1.53038,-1894.6,2478.91,20.0001
4841,0,0.000346799,-0.0118471,1.94717,-3129.52,6360.53,754.26,-0.029933,0.0462411,1.53045,-1894.6,2478.9,19.9996
4842,0,0.00184451,-0.0119045,1.94765,-3129.5,6360.57,754.309,-0.0298181,0.0463289,1.53035,-1894.6,2478.9,19.9895
4843,0,0.000657236,-0.0113651,1.94741,-3129.45,6360.5,754.31,-0.0298487,0.0463462,1.53043,-1894.6,2478.91,20.0017
4844,0,0.00178108,-0.0115159,1.9476,-3129.5,6360.54,754.221,-0.0298915,0.0462756,1.53039,-1894.6,2478.91,20.0028
4845,0,0.00142624,-0.0117624,1.94786,-3129.51,6360.54,754.244,-0.0295844,0.0461436,1.5305,-1894.59,2478.91,19.9942
4846,0,0.00184871,-0.0120813,1.94751,-3129.39,6360.57,754.33,-0.029642,0.0460561,1.53049,-1894.6,2478.91,20.004
4847,0,0.000863429,-0.0111413,1.94715,-3129.48,6360.5,754.287,-0.0295004,0.046186,1.53057,-1894.6,2478.9,20.0162
4848,0,0.000391923,-0.0116919,1.94782,-3129.63,6360.5,754.291,-0.0298037,0.046034,1.53051,-1894.59,2478.91,19.9944
4849,0,0.00159102,-0.01183,1.94759,-3129.42,6360.56,754.322,-0.0299556,0.0462039,1.53038,-1894.59,2478.9,19.9883
4850,0,0.00077343,-0.0112443,1.94755,-3129.45,6360.5,754.307,-0.0295896,0.0461265,1.53053,-1894.6,2478.9,19.9938
4851,0,0.000503724,-0.01179,1.94724,-3129.46,6360.52,754.261,-0.029827,0.0463878,1.53036,-1894.6,2478.91,20.002
4852,0,0.000690381,-0.0115115,1.94733,-3129.53,6360.49,754.264,-0.0297217,0.0461231,1.53044,-1894.59,2478.91,19.9899
4853,0,0.000379849,-0.0118553,1.94745,-3129.37,6360.53,754.316,-0.0297346,0.0462546,1.53045,-1894.6,2478.9,20.0014
4854,0,0.00159865,-0.0115351,1.94758,-3129.58,6360.53,754.241,-0.0299589,0.0462842,1.53048,-1894.59,2478.9,19.9806
4855,0,0.000151939,-0.0115701,1.94723,-3129.47,6360.48,754.253,-0.0297831,0.0461496,1.53046,-1894.59,2478.91,19.9922
4856,0,0.000588539,-0.011633,1.94757,-3129.42,6360.49,754.309,-0.0297573,0.0461705,1.53051,-1894.59,2478.9,19.9882
4857,0,0.000340517,-0.0113903,1.94734,-3129.52,6360.47,754.228,-0.0300092,0.0462683,1.53047,-1894.59,2478.9,19.99
4858,0,0.000262675,-0.0118467,1.94742,-3129.46,6360.51,754.248,-0.0298571,0.0461011,1.53045,-1894.59,2478.91,19.9974
4859,0,0.000439244,-0.0114409,1.94713,-3129.48,6360.51,754.294,-0.0298036,0.0462234,1.53052,-1894.59,2478.91,19.9947
4860,0,0.000556558,-0.0114672,1.94767,-3129.5,6360.51,754.277,-0.0298008,0.0462336,1.53051,-1894.59,2478.91,19.9938
4861,0,0.000566763,-0.0115854,1.94733,-3129.4,6360.52,754.351,-0.0298445,0.0463285,1.53051,-1894.59,2478.9,19.9982
4862,0,0.000653607,-0.0115258,1.94764,-3129.48,6360.5,754.268,-0.029672,0.0462385,1.53043,-1894.58,2478.91,19.9964
4863,0,0.00165691,-0.0119548,1.94798,-3129.62,6360.58,754.267,-0.0298532,0.0462201,1.53053,-1894.59,2478.9,19.988
4864,0,0.00069973,-0.0118253,1.94743,-3129.47,6360.53,754.313,-0.0297756,0.0461472,1.53051,-1894.59,2478.91,19.9902
4865,0,0.00140134,-0.011609,1.94752,-3129.48,6360.53,754.23,-0.0296813,0.046143,1.53053,-1894.59,2478.91,19.9956
4866,0,0.0016702,-0.0115152,1.94808,-3129.52,6360.55,754.229,-0.0297455,0.0461768,1.53056,-1894.6,2478.91,19.994
4867,0,0.00160432,-0.0114652,1.94785,-3129.59,6360.53,754.211,-0.0299717,0.0462593,1.53051,-1894.59,2478.91,19.9841
4868,0,0.00171854,-0.0116686,1.94744,-3129.49,6360.54,754.303,-0.0297895,0.0462721,1.5305,-1894.6,2478.91,19.9938
4869,0,0.000554558,-0.0118276,1.94748,-3129.41,6360.51,754.343,-0.0298482,0.0461754,1.53045,-1894.59,2478.91,19.9958
4870,0,0.000660021,-0.0113457,1.94752,-3129.48,6360.5,754.268,-0.0297455,0.0464242,1.53033,-1894.6,2478.92,19.9961
4871,0,0.000514782,-0.0117477,1.94726,-3129.48,6360.52,754.307,-0.029891,0.0462026,1.53048,-1894.59,2478.91,19.9868
