Objects
100
,,Global Angle Racer400:Racer400,,,,,,Global Angle Tello_FCF6BF:Tello_FCF6BF,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
7784,0,-0.000450006,0.0105035,0.00225314,-3137.28,6311.1,756.798,0.0106922,0.0350729,-0.0469418,2992.2,2591.42,42.3218
7785,0,-0.000508194,0.0106262,0.00222083,-3137.24,6311.08,756.793,0.0111757,0.0354645,-0.0470862,2992.23,2591.51,42.3024
7786,0,-0.000477754,0.0111342,0.00291693,-3137.3,6311.04,756.855,0.0138385,0.0352696,-0.0466431,2992.12,2591.43,42.5887
7787,0,-8.19189e-05,0.0107444,0.00264738,-3137.24,6311.08,756.807,0.0142729,0.0357284,-0.046311,2992.07,2591.42,42.5945
7788,0,-0.000485714,0.010734,0.00236895,-3137.26,6311.08,756.818,0.0111675,0.0349022,-0.046981,2992.25,2591.47,42.3448
7789,0,-0.000579452,0.0110258,0.0027042,-3137.28,6311.05,756.825,0.0137945,0.0351446,-0.0461649,2992.15,2591.43,42.5156
7790,0,-1.76908e-05,0.0110351,0.000995712,-3137.4,6311.2,756.764,0.0105935,0.0351052,-0.0476544,2992.25,2591.48,42.282
7791,0,-0.000637263,0.0112479,0.00212653,-3137.19,6311.06,756.909,0.0114124,0.0338266,-0.0471889,2992.67,2591.49,42.1301
7792,0,-0.000749882,0.0110519,0.00252191,-3137.23,6311.05,756.848,0.0138676,0.0358286,-0.0466013,2992.08,2591.45,42.5993
7793,0,-0.000628152,0.0110757,0.00297731,-3137.27,6311.04,756.855,0.0111219,0.0345311,-0.0468566,2992.27,2591.5,42.3141
7794,0,-2.7772e-05,0.0102215,0.00322854,-3137.22,6311.08,756.773,0.0145774,0.0354079,-0.0459972,2992.16,2591.46,42.5783
7795,0,-0.000314006,0.0103935,0.00391905,-3137.09,6311.02,756.842,0.0136885,0.0354526,-0.0463684,2992.14,2591.44,42.5313
