Objects
100
,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
6563,0,0.00527238,-0.00573913,0.00309471,3003.01,2574.95,30.9606
6564,0,0.00527072,-0.00579674,0.00300095,3003.01,2574.95,30.9732
6565,0,0.00430302,-0.00513452,0.00358228,3002.93,2574.93,31.0196
6566,0,0.00452699,-0.00521238,0.00331071,3003.03,2574.95,30.9864
6567,0,0.00547963,-0.00655088,0.00333512,3003.06,2575.04,30.9949
6568,0,0.00474619,-0.00638973,0.00294778,3003.09,2575,31.0041
6569,0,0.00498,-0.0066959,0.00282921,3003.14,2574.99,30.9935
6570,0,0.00471161,-0.00598187,0.00264739,3003.16,2574.96,31.0105
6571,0,0.00532338,-0.00699225,0.00273984,3003.16,2574.96,31.0098
6572,0,0.0057605,-0.00690096,0.00289278,3003.17,2574.95,30.9856
6573,0,0.00421797,-0.00490058,0.00330183,3003.04,2574.88,31.0157
6574,0,0.00484887,-0.00541371,0.00327378,3003.07,2574.89,31.0296
6575,0,0.00567726,-0.00602921,0.00313321,3003.09,2574.91,31.017
6576,0,0.00613128,-0.00634072,0.00330403,3003.09,2574.93,31.0072
6577,0,0.00650711,-0.00660265,0.00325791,3003.07,2574.98,31.0178
6578,0,0.00524765,-0.00524254,0.00371464,3002.98,2574.98,31.0047
6579,0,0.00541016,-0.00545393,0.00352889,3003.01,2575.01,30.982
6580,0,0.00559306,-0.00531755,0.00341605,3002.98,2575.04,30.9404
6581,0,0.00480274,-0.00474133,0.00389506,3002.91,2575.05,30.9142
6582,0,0.00620902,-0.00581763,0.00389946,3002.97,2575.11,30.8726
6583,0,0.00649013,-0.00613209,0.00401632,3003.01,2575.12,30.8316
6584,0,0.00751943,-0.0066041,0.00400654,3003.03,2575.13,30.7917
6585,0,0.00660128,-0.00620129,0.00379961,3002.96,2575.11,30.7728
6586,0,0.0057581,-0.00519465,0.00372996,3002.93,2575.1,30.7869
6587,0,0.00695015,-0.00616378,0.00366547,3002.96,2575.12,30.7682
6588,0,0.00676946,-0.00624007,0.00329336,3002.97,2575.13,30.775
6589,0,0.00667932,-0.00611817,0.0030864,3002.96,2575.12,30.7809
6590,0,0.00717839,-0.00699553,0.00315057,3003,2575.15,30.7686
6591,0,0.0073518,-0.00722752,0.00341969,3003.04,2575.16,30.761
6592,0,0.0059365,-0.00557099,0.00343509,3002.96,2575.11,30.8328
6593,0,0.00625324,-0.00603602,0.00322171,3002.99,2575.1,30.8712
6594,0,0.00651273,-0.00640272,0.00303505,3003.01,2575.09,30.8778
6595,0,0.00496438,-0.00505251,0.0032036,3002.93,2575.04,30.9258
6596,0,0.00553773,-0.00533441,0.00316847,3002.99,2575.03,30.9089
6597,0,0.0059179,-0.00499856,0.00344019,3002.97,2575.02,30.9209
6598,0,0.00601683,-0.00546011,0.00310298,3003.01,2575.01,30.9126
6599,0,0.00617066,-0.00610506,0.00277931,3003.05,2575.01,30.9097
6600,0,0.0065554,-0.00713911,0.00263372,3003.12,2575.01,30.8891
6601,0,0.00632064,-0.00742871,0.00224732,3003.13,2575.02,30.8937
6602,0,0.00550713,-0.00660194,0.00221433,3003.15,2575.01,30.9333
6603,0,0.00518855,-0.00645919,0.00240114,3003.13,2575.03,30.9433
6604,0,0.00452009,-0.00604132,0.00210366,3003.14,2575.01,30.9667
6605,0,0.00438843,-0.00609706,0.00235507,3003.13,2574.99,30.9802
6606,0,0.00577633,-0.00684778,0.00259659,3003.13,2575.04,30.9791
6607,0,0.00350838,-0.00801713,0.00160523,3003.09,2575,31.0395
6608,0,0.00350591,-0.0063989,0.00255692,3003.01,2574.93,31.0275
6609,0,0.00543788,-0.00691408,0.00275544,3003,2574.99,31.0383
6610,0,0.00559835,-0.00628175,0.00277565,3003,2574.95,31.0469
6611,0,0.00671128,-0.00728332,0.00280935,3003.06,2575,31.0304
6612,0,0.00591975,-0.00661141,0.00334854,3003.01,2574.96,31.0096
6613,0,0.00535016,-0.00624748,0.00306155,3003.04,2574.95,30.9925
6614,0,0.00558482,-0.00688398,0.0027471,3003.07,2574.98,30.9754
6615,0,0.00607124,-0.00722462,0.00247763,3003.06,2575,30.9577
6616,0,0.0052831,-0.00600122,0.00301469,3002.99,2575,30.9639
6617,0,0.00557946,-0.00633475,0.00297294,3003.07,2575.02,30.9242
6618,0,0.00591455,-0.00662147,0.00310239,3003.06,2575.04,30.8897
6619,0,0.00626357,-0.00684429,0.00319921,3003.08,2575.07,30.857
6620,0,0.00597005,-0.00643203,0.00351875,3002.98,2575.07,30.8446
6621,0,0.00598714,-0.00597965,0.00338992,3002.96,2575.08,30.8315
6622,0,0.00654898,-0.00565734,0.00426741,3002.93,2575.09,30.8121
6623,0,0.00755808,-0.0066779,0.00423245,3002.96,2575.12,30.757
6624,0,0.0071156,-0.00625517,0.00437042,3002.94,2575.1,30.753
6625,0,0.00659703,-0.00581782,0.00389312,3002.95,2575.11,30.7782
6626,0,0.00668584,-0.00644826,0.00347825,3003,2575.14,30.7878
6627,0,0.00269057,-0.00382879,0.00189677,3003.01,2575.22,30.7493
6628,0,0.00460264,-0.00463528,0.00243701,3002.94,2575.22,30.8351
6629,0,0.00980947,-0.00789091,0.00328852,3003.07,2575.33,30.8618
6630,0,0.00852706,-0.00688286,0.00398431,3002.95,2575.27,30.9101
6631,0,0.0114021,-0.00896679,0.00499459,3002.99,2575.23,30.939
6632,0,0.0121147,-0.00904753,0.00520237,3003,2575.23,30.946
6633,0,0.010012,-0.00695898,0.00480462,3002.91,2575.17,30.9874
6634,0,0.00612691,-0.00418668,0.00392748,3002.91,2574.95,30.9682
6635,0,0.00819921,-0.00623896,0.00394701,3002.98,2575.06,30.9579
6636,0,0.00912164,-0.00684747,0.0045428,3002.94,2575.08,30.9867
6637,0,0.0101675,-0.00746941,0.00523645,3002.93,2575.09,31.0339
6638,0,0.0143507,-0.0110994,0.00594331,3003.07,2575.21,31.0046
6639,0,0.0108175,-0.0111058,0.004864,3003,2575.2,31.0901
6640,0,0.0129581,-0.0128672,0.00444963,3003.11,2575.29,31.0172
6641,0,0.0147208,-0.0137183,0.00501573,3003.15,2575.3,31.0364
6642,0,0.019851,-0.0175649,0.00547086,3003.22,2575.46,31.0436
6643,0,0.0169866,-0.0151314,0.00506009,3003.17,2575.37,31.0347
6644,0,0.0140894,-0.0121351,0.00437233,3003.13,2575.26,31.0296
6645,0,0.0116999,-0.0100878,0.00491538,3003.04,2575.17,31.0297
6646,0,0.0131833,-0.0110771,0.00462639,3003.07,2575.19,31.0657
6647,0,0.0178039,-0.0141287,0.00427547,3003.18,2575.32,31.1357
6648,0,0.0143811,-0.0112127,0.00469974,3003,2575.2,31.1782
6649,0,0.0171388,-0.0136092,0.00527553,3003.1,2575.29,31.1595
6650,0,0.0147127,-0.0125193,0.00468135,3003.1,2575.25,31.1335
6651,0,0.00887441,-0.0109958,0.00339448,3003.05,2575.17,31.1692
6652,0,0.0139653,-0.0142563,0.00398705,3003.11,2575.33,31.1536
6653,0,0.0167764,-0.0156961,0.00438023,3003.2,2575.4,31.1266
6654,0,0.0193939,-0.0170739,0.00466358,3003.18,2575.47,31.1149
6655,0,0.0248762,-0.0207236,0.00537423,3003.32,2575.63,31.0844
6656,0,0.0227333,-0.0206165,0.00542676,3003.28,2575.44,30.9538
6657,0,0.0168297,-0.0143848,0.00551452,3003.1,2575.3,31.0038
6658,0,0.0165521,-0.0139964,0.00500505,3003.12,2575.32,31.0162
6659,0,0.0126563,-0.0110316,0.00453199,3003.13,2575.27,30.9815
6660,0,0.010943,-0.00917673,0.00532856,3003.06,2575.23,30.9908
6661,0,0.012253,-0.00991975,0.00538896,3003.11,2575.29,30.993
