Objects
100
,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
4999,0,0.0104758,-0.0388281,-1.61118,3014.95,-2510.43,5.41348
5000,0,0.0112893,-0.038777,-1.61128,3014.96,-2510.41,5.43038
5001,0,0.011528,-0.0370958,-1.61191,3014.93,-2510.39,5.36382
5002,0,0.0109881,-0.0370421,-1.61234,3014.92,-2510.4,5.39565
5003,0,0.0111041,-0.0385354,-1.61204,3014.97,-2510.4,5.38545
5004,0,0.00946625,-0.0375592,-1.61161,3014.94,-2510.41,5.3937
5005,0,0.0103923,-0.0376377,-1.61197,3014.94,-2510.38,5.39027
5006,0,0.0110279,-0.0379958,-1.61161,3014.95,-2510.38,5.40632
5007,0,0.0111289,-0.0380775,-1.61136,3014.92,-2510.38,5.39483
5008,0,0.011371,-0.0380871,-1.61203,3014.97,-2510.37,5.35358
5009,0,0.0112631,-0.0381815,-1.61209,3014.97,-2510.35,5.33973
5010,0,0.00982302,-0.0382732,-1.61099,3014.94,-2510.41,5.39116
5011,0,0.00894739,-0.0378726,-1.61052,3014.91,-2510.43,5.39344
5012,0,0.0102118,-0.0367569,-1.61104,3014.92,-2510.39,5.38765
5013,0,0.0107321,-0.0365462,-1.61139,3014.91,-2510.36,5.36655
5014,0,0.0114352,-0.0353418,-1.61153,3014.91,-2510.34,5.35551
5015,0,0.0114758,-0.0376336,-1.61138,3014.98,-2510.36,5.32864
5016,0,0.0114846,-0.036582,-1.61166,3014.95,-2510.37,5.32702
5017,0,0.0114801,-0.0375225,-1.6121,3015,-2510.38,5.35396
5018,0,0.00999125,-0.038561,-1.61135,3015,-2510.43,5.38143
5019,0,0.0108082,-0.0392989,-1.61138,3015.03,-2510.43,5.40105
5020,0,0.0109599,-0.0385547,-1.61156,3015,-2510.42,5.37192
5021,0,0.0112982,-0.0387514,-1.6119,3015,-2510.4,5.3698
5022,0,0.0115565,-0.0382066,-1.61191,3014.98,-2510.4,5.36595
5023,0,0.0102816,-0.0390255,-1.61157,3014.99,-2510.4,5.4139
5024,0,0.010956,-0.0383833,-1.61212,3014.96,-2510.4,5.41367
5025,0,0.0112549,-0.038467,-1.61195,3015,-2510.39,5.37251
5026,0,0.0110509,-0.0390487,-1.61181,3014.96,-2510.4,5.39667
5027,0,0.00981679,-0.0386901,-1.61077,3014.94,-2510.42,5.42069
5028,0,0.0105766,-0.0376207,-1.61131,3014.9,-2510.41,5.3805
5029,0,0.0111483,-0.0375477,-1.61194,3014.98,-2510.4,5.38707
5030,0,0.0113314,-0.0376625,-1.61185,3014.92,-2510.4,5.4053
5031,0,0.011655,-0.0370717,-1.61156,3014.92,-2510.39,5.39877
5032,0,0.0100455,-0.0385295,-1.61103,3014.94,-2510.43,5.4189
5033,0,0.0102228,-0.0385067,-1.61146,3014.92,-2510.41,5.43314
5034,0,0.0108521,-0.0378,-1.61181,3014.93,-2510.38,5.43404
5035,0,0.0110915,-0.0374443,-1.61171,3014.91,-2510.37,5.38886
5036,0,0.0109237,-0.0377891,-1.61242,3014.92,-2510.37,5.35385
5037,0,0.0097602,-0.0388807,-1.61109,3014.92,-2510.41,5.39507
5038,0,0.0106405,-0.0391273,-1.61077,3014.92,-2510.37,5.37759
5039,0,0.0110355,-0.0381413,-1.61107,3014.92,-2510.37,5.38354
5040,0,0.0113285,-0.0373703,-1.61155,3014.94,-2510.35,5.34608
5041,0,0.0115977,-0.0374297,-1.61123,3014.92,-2510.36,5.35212
5042,0,0.0115347,-0.0377685,-1.61167,3014.96,-2510.37,5.33421
5043,0,0.0115813,-0.038295,-1.61143,3014.96,-2510.35,5.36499
5044,0,0.0114107,-0.0396544,-1.61132,3015.03,-2510.38,5.33092
5045,0,0.0117007,-0.0394026,-1.61136,3015.01,-2510.39,5.35564
5046,0,0.0116691,-0.0392446,-1.61108,3014.97,-2510.4,5.35702
5047,0,0.0113051,-0.0392281,-1.61164,3014.96,-2510.38,5.3315
5048,0,0.0115155,-0.0395834,-1.61153,3014.97,-2510.37,5.35291
5049,0,0.0114034,-0.0395392,-1.61163,3014.95,-2510.38,5.37349
5050,0,0.0115091,-0.0395183,-1.61139,3014.97,-2510.38,5.37922
5051,0,0.0116552,-0.0403666,-1.61204,3015.01,-2510.37,5.36906
5052,0,0.0117523,-0.0392561,-1.61184,3015.01,-2510.37,5.3562
5053,0,0.011561,-0.0385077,-1.61184,3014.96,-2510.38,5.34431
5054,0,0.0103976,-0.0361868,-1.61442,3014.99,-2510.49,5.32173
5055,0,0.0105614,-0.0374768,-1.61321,3014.98,-2510.42,5.35446
5056,0,0.0104736,-0.0381019,-1.61291,3014.97,-2510.42,5.34251
5057,0,0.0113054,-0.0371696,-1.61203,3014.96,-2510.4,5.34174
5058,0,0.011737,-0.0378236,-1.61181,3014.96,-2510.37,5.34134
5059,0,0.0115976,-0.0370548,-1.61138,3014.94,-2510.37,5.31318
5060,0,0.0117129,-0.0365791,-1.61146,3014.94,-2510.39,5.31687
5061,0,0.0115331,-0.0369382,-1.61176,3014.95,-2510.39,5.3393
5062,0,0.0120128,-0.0364686,-1.61153,3014.94,-2510.37,5.33021
5063,0,0.0117001,-0.0371812,-1.61131,3014.94,-2510.37,5.33713
5064,0,0.011613,-0.0382351,-1.61192,3014.92,-2510.38,5.32607
5065,0,0.0121221,-0.0367706,-1.61149,3014.93,-2510.37,5.34842
5066,0,0.0120342,-0.0374158,-1.61199,3014.97,-2510.38,5.29018
5067,0,0.0122601,-0.0384109,-1.61156,3014.98,-2510.36,5.33062
5068,0,0.0121554,-0.0371482,-1.61175,3014.95,-2510.34,5.31944
5069,0,0.011908,-0.0371617,-1.61153,3014.93,-2510.37,5.34168
5070,0,0.0118489,-0.0375989,-1.61139,3014.96,-2510.36,5.32549
5071,0,0.011641,-0.0385434,-1.61163,3014.97,-2510.37,5.35093
5072,0,0.0113715,-0.0382253,-1.61216,3014.99,-2510.4,5.31659
5073,0,0.0116552,-0.0385967,-1.6117,3014.94,-2510.36,5.34785
5074,0,0.0116677,-0.0386214,-1.61132,3014.97,-2510.35,5.37786
5075,0,0.0117165,-0.0399938,-1.61159,3015.01,-2510.38,5.37685
5076,0,0.0117279,-0.0383576,-1.61182,3014.96,-2510.36,5.3752
5077,0,0.0116784,-0.0380701,-1.61194,3014.94,-2510.37,5.35578
5078,0,0.0121005,-0.0387083,-1.61163,3014.98,-2510.37,5.30366
5079,0,0.0118985,-0.0394849,-1.61159,3015.01,-2510.35,5.31607
5080,0,0.011767,-0.0393998,-1.61188,3015.02,-2510.38,5.32615
5081,0,0.0101776,-0.0386892,-1.61101,3014.93,-2510.41,5.38515
5082,0,0.0108561,-0.0387356,-1.61131,3014.94,-2510.4,5.37996
5083,0,0.0113,-0.0381701,-1.61104,3014.97,-2510.39,5.39288
5084,0,0.0116032,-0.0381924,-1.61152,3014.97,-2510.37,5.36489
5085,0,0.0121251,-0.0365457,-1.61153,3014.96,-2510.32,5.36222
5086,0,0.0119044,-0.0367673,-1.61197,3014.95,-2510.34,5.33214
5087,0,0.0116205,-0.0367494,-1.61223,3014.93,-2510.36,5.38141
5088,0,0.0116302,-0.0374674,-1.61238,3014.92,-2510.35,5.37004
5089,0,0.0116805,-0.0362805,-1.61183,3014.92,-2510.36,5.36188
5090,0,0.0099405,-0.0380985,-1.61104,3014.93,-2510.44,5.3625
5091,0,0.0107743,-0.0378108,-1.61117,3014.91,-2510.42,5.33939
5092,0,0.0113014,-0.0386914,-1.61092,3015,-2510.44,5.33032
5093,0,0.0115225,-0.0389153,-1.61131,3014.96,-2510.4,5.36692
5094,0,0.0119228,-0.0387368,-1.61181,3015.02,-2510.38,5.35335
5095,0,0.0119673,-0.040159,-1.61141,3015.03,-2510.4,5.35357
5096,0,0.0117237,-0.0401415,-1.61164,3014.97,-2510.41,5.34877
5097,0,0.0115092,-0.0409597,-1.61148,3014.99,-2510.43,5.35102
5098,0,0.0116219,-0.0398775,-1.61148,3014.98,-2510.41,5.37237
5099,0,0.011936,-0.0379816,-1.61153,3014.93,-2510.4,5.34435
5100,0,0.0120165,-0.038174,-1.61187,3014.95,-2510.37,5.3402
5101,0,0.0118002,-0.0378812,-1.61206,3014.92,-2510.35,5.33479
5102,0,0.0116886,-0.0372599,-1.61215,3014.92,-2510.32,5.38374
5103,0,0.0114383,-0.0371512,-1.61216,3014.88,-2510.33,5.38347
5104,0,0.0113056,-0.0385541,-1.61293,3014.93,-2510.34,5.36745
5105,0,0.0115461,-0.0394439,-1.61286,3014.99,-2510.38,5.37677
5106,0,0.0118533,-0.0376397,-1.61247,3014.95,-2510.35,5.38646
5107,0,0.0119243,-0.0377525,-1.61204,3014.99,-2510.36,5.4006
5108,0,0.0121815,-0.0377515,-1.61167,3015,-2510.35,5.3994
5109,0,0.0120827,-0.0371929,-1.61134,3014.95,-2510.35,5.3898
5110,0,0.012002,-0.0385356,-1.61185,3014.99,-2510.38,5.39361
5111,0,0.0120187,-0.0374418,-1.61175,3014.96,-2510.37,5.3854
5112,0,0.0117327,-0.038377,-1.61191,3014.99,-2510.37,5.39423
5113,0,0.00963991,-0.0161332,-1.61304,3014.6,-2509.99,5.34564
5114,0,0.00717329,-0.0028648,-1.61542,3014.48,-2509.87,5.33994
5115,0,0.00860091,-0.00594855,-1.61434,3014.49,-2509.81,5.37989
5116,0,0.0070439,-0.00504075,-1.61248,3014.5,-2509.84,5.37
5117,0,0.00736616,-0.00574202,-1.61245,3014.59,-2509.9,5.30186
5118,0,0.00609661,-0.00645212,-1.61168,3014.59,-2509.96,5.31587
5119,0,0.00651655,-0.00789111,-1.61209,3014.63,-2509.94,5.27444
5120,0,0.00752956,-0.0111362,-1.6122,3014.72,-2509.98,5.28642
5121,0,0.00637231,-0.00969236,-1.61217,3014.68,-2510,5.29862
5122,0,0.0081864,-0.0129088,-1.61242,3014.74,-2510.01,5.31309
5123,0,0.00809059,-0.010761,-1.61202,3014.69,-2509.96,5.31812
5124,0,0.00833862,-0.00878226,-1.61209,3014.65,-2509.89,5.34678
5125,0,0.00855754,-0.00693054,-1.61271,3014.63,-2509.84,5.34899
5126,0,0.00935371,-0.0101514,-1.61279,3014.63,-2509.87,5.42067
5127,0,0.00912699,-0.0086476,-1.61325,3014.65,-2509.86,5.35904
5128,0,0.00950465,-0.0135521,-1.61317,3014.71,-2509.95,5.34034
5129,0,0.00916154,-0.00989339,-1.61317,3014.68,-2509.92,5.35525
5130,0,0.00912818,-0.0077323,-1.61254,3014.67,-2509.91,5.33951
5131,0,0.008728,-0.00617059,-1.61345,3014.66,-2509.9,5.34806
5132,0,0.00865398,-0.00500656,-1.61332,3014.65,-2509.87,5.35275
5133,0,0.00913548,-0.00648418,-1.61267,3014.66,-2509.9,5.35452
5134,0,0.00765593,0.0017279,-1.61308,3014.44,-2509.76,5.36983
5135,0,0.00782124,-0.000569179,-1.61341,3014.53,-2509.79,5.34842
5136,0,0.0063338,-0.000265391,-1.61237,3014.46,-2509.82,5.39434
5137,0,0.00770072,-0.00778102,-1.61225,3014.61,-2509.93,5.38531
5138,0,0.00793715,-0.00759042,-1.61255,3014.61,-2509.9,5.3722
5139,0,0.00827558,-0.00692203,-1.61248,3014.65,-2509.89,5.36278
5140,0,0.0070279,-0.00646437,-1.61174,3014.64,-2509.94,5.38402
5141,0,0.00774204,-0.00582846,-1.6121,3014.64,-2509.9,5.3921
5142,0,0.00823588,-0.0108269,-1.61221,3014.69,-2509.94,5.39561
5143,0,0.00797414,-0.00421288,-1.61322,3014.52,-2509.84,5.42642
5144,0,0.00824307,-0.00286868,-1.61429,3014.63,-2509.82,5.44427
5145,0,0.00745852,-0.00706572,-1.61345,3014.66,-2509.89,5.48107
5146,0,0.00797653,-0.00551916,-1.6141,3014.7,-2509.84,5.4478
5147,0,0.00744238,-0.00939735,-1.61326,3014.76,-2509.93,5.49344
5148,0,0.00677364,-0.00676209,-1.61323,3014.72,-2509.88,5.53555
5149,0,0.00697774,-0.013031,-1.61352,3014.73,-2509.99,5.61453
5150,0,0.0065087,-0.0112987,-1.61362,3014.69,-2509.91,5.61759
5151,0,0.00636466,-0.00646878,-1.61465,3014.68,-2509.84,5.63288
5152,0,0.00775141,-0.0069339,-1.61578,3014.73,-2509.8,5.61097
5153,0,0.00686906,-0.00259267,-1.61687,3014.59,-2509.78,5.66054
5154,0,0.00923638,-0.00658219,-1.61805,3014.57,-2509.78,5.76296
5155,0,0.00934072,-0.0106546,-1.6179,3014.7,-2509.9,5.75884
5156,0,0.00806169,-0.00816724,-1.61967,3014.63,-2509.97,5.74079
5157,0,0.0103855,-0.010119,-1.61931,3014.75,-2509.96,5.92898
5158,0,0.012353,-0.0162043,-1.61936,3014.97,-2510.05,5.98646
5159,0,0.0116394,-0.00917567,-1.62052,3014.59,-2509.96,6.01555
5160,0,0.0138023,-0.00427944,-1.62154,3014.54,-2509.87,6.13832
5161,0,0.0162607,0.00362615,-1.62195,3014.32,-2509.7,6.34405
