Objects
100
,,Global Angle Racer400:Racer400,,,,,,Global Angle Tello_FCF6BF:Tello_FCF6BF,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
72,0,0.0182708,-0.0324729,3.11105,-3112.88,6266.53,755.248,,,,,,
73,0,0.0181793,-0.0321797,3.11105,-3113.02,6266.55,755.231,,,,,,
74,0,0.018466,-0.031532,3.11132,-3113.02,6266.49,755.2,,,,,,
75,0,0.0182502,-0.0320163,3.11107,-3113.06,6266.55,755.225,,,,,,
76,0,0.0181676,-0.0321401,3.11106,-3112.97,6266.56,755.212,,,,,,
77,0,0.0181751,-0.0321827,3.11103,-3113.06,6266.53,755.161,,,,,,
78,0,0.0187766,-0.0317447,3.11128,-3113.04,6266.51,755.304,,,,,,
79,0,0.0179033,-0.0317506,3.11126,-3112.95,6266.5,755.215,,,,,,
80,0,0.0182099,-0.0319892,3.11129,-3113.04,6266.5,755.197,,,,,,
81,0,0.0178609,-0.0318929,3.11116,-3112.98,6266.53,755.202,,,,,,
82,0,0.0179608,-0.0317529,3.1112,-3112.98,6266.5,755.232,,,,,,
83,0,0.018599,-0.0320817,3.1111,-3113.01,6266.54,755.253,,,,,,
84,0,0.0177981,-0.0319034,3.11123,-3113.04,6266.54,755.212,,,,,,
85,0,0.0180882,-0.0315844,3.1112,-3113.1,6266.49,755.198,,,,,,
86,0,0.0180858,-0.0317085,3.11117,-3112.9,6266.51,755.227,,,,,,
87,0,0.0182606,-0.0317776,3.11115,-3112.93,6266.51,755.245,,,,,,
88,0,0.0182989,-0.0318098,3.1113,-3112.97,6266.52,755.244,,,,,,
89,0,0.0182171,-0.0322365,3.11102,-3113.05,6266.56,755.213,,,,,,
90,0,0.0185003,-0.0321,3.11113,-3113.09,6266.53,755.202,,,,,,
91,0,0.0177015,-0.0317491,3.11121,-3112.94,6266.51,755.216,,,,,,
92,0,0.0179528,-0.0317334,3.11121,-3112.97,6266.52,755.217,,,,,,
93,0,0.0186266,-0.0319613,3.11123,-3112.99,6266.51,755.243,,,,,,
94,0,0.0181988,-0.0318527,3.1113,-3112.91,6266.48,755.235,,,,,,
95,0,0.0177898,-0.0321512,3.11098,-3112.99,6266.55,755.197,,,,,,
96,0,0.0187769,-0.0322149,3.11119,-3112.95,6266.54,755.365,,,,,,
97,0,0.0183935,-0.0317831,3.11129,-3113,6266.5,755.236,,,,,,
98,0,0.0181867,-0.0317259,3.11123,-3113.01,6266.51,755.195,,,,,,
99,0,0.018515,-0.0318888,3.11116,-3112.99,6266.51,755.245,,,,,,
100,0,0.0180044,-0.0318705,3.11125,-3113.01,6266.51,755.223,,,,,,
101,0,0.0181856,-0.0319962,3.1112,-3112.88,6266.53,755.258,,,,,,
102,0,0.0184232,-0.032235,3.11103,-3112.96,6266.53,755.224,,,,,,
103,0,0.017954,-0.0315389,3.11126,-3113.03,6266.51,755.183,,,,,,
104,0,0.0180305,-0.0311357,3.11141,-3112.91,6266.47,755.221,,,,,,
105,0,0.0179196,-0.0316067,3.11129,-3112.97,6266.49,755.207,,,,,,
106,0,0.0180747,-0.0316122,3.11129,-3112.96,6266.5,755.209,,,,,,
107,0,0.0179969,-0.0317075,3.11113,-3112.95,6266.5,755.275,,,,,,
108,0,0.0185776,-0.0317585,3.1112,-3113,6266.5,755.241,,,,,,
109,0,0.0179052,-0.0317739,3.11124,-3112.93,6266.52,755.219,,,,,,
110,0,0.0178626,-0.0319121,3.11121,-3113.04,6266.54,755.226,,,,,,
111,0,0.0182906,-0.0321611,3.11098,-3112.93,6266.53,755.242,,,,,,
112,0,0.0185733,-0.0321035,3.11128,-3113.08,6266.52,755.212,,,,,,
113,0,0.018051,-0.0319093,3.11115,-3112.92,6266.51,755.227,,,,,,
114,0,0.0183261,-0.0320389,3.11117,-3112.97,6266.53,755.228,,,,,,
115,0,0.0184638,-0.0321515,3.11117,-3112.99,6266.53,755.188,,,,,,
116,0,0.0185204,-0.0315227,3.11144,-3113.04,6266.48,755.241,,,,,,
117,0,0.0185833,-0.0317563,3.11125,-3112.99,6266.51,755.326,,,,,,
118,0,0.0186785,-0.0316086,3.11134,-3112.97,6266.48,755.24,,,,,,
119,0,0.0183944,-0.0319252,3.1111,-3113.07,6266.55,755.218,,,,,,
120,0,0.018216,-0.0319781,3.1112,-3112.95,6266.51,755.229,,,,,,
121,0,0.018194,-0.0319051,3.11117,-3112.99,6266.52,755.188,,,,,,
122,0,0.0178249,-0.0318366,3.11126,-3113,6266.51,755.2,,,,,,
123,0,0.0181452,-0.0316385,3.11119,-3112.96,6266.51,755.217,,,,,,
124,0,0.0180946,-0.0320047,3.1112,-3112.91,6266.52,755.237,,,,,,
125,0,0.0181604,-0.0317082,3.11114,-3113.03,6266.52,755.197,,,,,,
126,0,0.0189469,-0.0322952,3.11117,-3112.99,6266.55,755.338,,,,,,
127,0,0.0177294,-0.0313708,3.11132,-3112.95,6266.48,755.216,,,,,,
128,0,0.0182901,-0.0325536,3.11089,-3113.02,6266.59,755.248,,,,,,
129,0,0.0193714,-0.0341721,3.11073,-3113,6266.67,755.391,,,,,,
130,0,0.0182458,-0.0320745,3.11119,-3113.13,6266.53,755.183,,,,,,
131,0,0.0178963,-0.0320345,3.11107,-3112.99,6266.53,755.195,,,,,,
132,0,0.0180946,-0.0317425,3.11131,-3113.02,6266.51,755.203,,,,,,
133,0,0.018135,-0.0320113,3.11115,-3112.93,6266.51,755.23,,,,,,
134,0,0.0181828,-0.0323376,3.111,-3112.98,6266.54,755.196,,,,,,
135,0,0.0184371,-0.0319173,3.11117,-3112.93,6266.52,755.374,,,,,,
136,0,0.0179172,-0.0318124,3.11128,-3112.98,6266.5,755.221,,,,,,
137,0,0.0182702,-0.0319795,3.11121,-3112.98,6266.51,755.26,,,,,,
138,0,0.0180692,-0.0323244,3.111,-3113,6266.57,755.21,,,,,,
139,0,0.0180443,-0.0323627,3.11085,-3112.99,6266.57,755.251,,,,,,
140,0,0.0179647,-0.0313988,3.11129,-3112.98,6266.48,755.193,,,,,,
141,0,0.0184914,-0.031783,3.11117,-3112.95,6266.51,755.266,,,,,,
142,0,0.0181097,-0.0318505,3.11137,-3112.94,6266.49,755.222,,,,,,
143,0,0.0191597,-0.0322452,3.11105,-3113.1,6266.53,755.325,,,,,,
144,0,0.0183859,-0.0318939,3.11104,-3113.01,6266.54,755.233,,,,,,
145,0,0.018331,-0.0318686,3.11125,-3113.02,6266.5,755.214,,,,,,
146,0,0.0184596,-0.0319704,3.11115,-3113.05,6266.52,755.231,,,,,,
147,0,0.0180951,-0.0315417,3.11126,-3113.07,6266.49,755.186,,,,,,
148,0,0.0185335,-0.0322724,3.11097,-3112.9,6266.55,755.307,,,,,,
149,0,0.0181557,-0.0317479,3.11123,-3113.01,6266.51,755.216,,,,,,
150,0,0.0177238,-0.0317828,3.11117,-3113.01,6266.53,755.19,,,,,,
151,0,0.0183424,-0.0316478,3.11123,-3113.03,6266.52,755.204,,,,,,
152,0,0.0180585,-0.0319836,3.11121,-3112.95,6266.51,755.209,,,,,,
153,0,0.0180596,-0.0315892,3.11139,-3113.01,6266.49,755.217,,,,,,
154,0,0.0178345,-0.0318129,3.11127,-3113.04,6266.51,755.184,,,,,,
155,0,0.0182918,-0.0316732,3.1112,-3113.01,6266.5,755.19,,,,,,
156,0,0.0181955,-0.032204,3.11109,-3112.96,6266.52,755.248,,,,,,
157,0,0.0180518,-0.0320237,3.1112,-3112.98,6266.52,755.202,,,,,,
158,0,0.0180081,-0.0312124,3.11137,-3113.02,6266.49,755.192,,,,,,
159,0,0.0184434,-0.0322203,3.11117,-3113.02,6266.53,755.234,,,,,,
160,0,0.0182747,-0.0319649,3.11117,-3113.01,6266.51,755.213,,,,,,
161,0,0.0186315,-0.0316782,3.11133,-3113.02,6266.49,755.257,,,,,,
162,0,0.0181407,-0.0319015,3.11105,-3113.01,6266.53,755.193,,,,,,
163,0,0.0178888,-0.0320875,3.11126,-3112.98,6266.51,755.21,,,,,,
164,0,0.0185774,-0.0318706,3.1111,-3113.01,6266.52,755.314,,,,,,
165,0,0.0191364,-0.0319232,3.11127,-3113,6266.52,755.344,,,,,,
166,0,0.0184557,-0.0318932,3.11119,-3112.96,6266.51,755.248,,,,,,
167,0,0.0182394,-0.0324726,3.11098,-3112.99,6266.55,755.231,,,,,,
168,0,0.018255,-0.0319283,3.11122,-3112.96,6266.51,755.193,,,,,,
169,0,0.0180899,-0.0315248,3.11126,-3113.03,6266.49,755.204,,,,,,
170,0,0.0184383,-0.0321043,3.1112,-3113.04,6266.51,755.207,,,,,,
171,0,0.0182563,-0.032252,3.11117,-3113.03,6266.53,755.246,,,,,,
172,0,0.0185703,-0.0314543,3.11133,-3113,6266.46,755.236,,,,,,
173,0,0.0180923,-0.0314707,3.11141,-3112.99,6266.47,755.229,,,,,,
174,0,0.0185703,-0.0321522,3.11112,-3113.08,6266.55,755.25,,,,,,
175,0,0.0180132,-0.0314983,3.11142,-3113.04,6266.48,755.156,,,,,,
176,0,0.0183731,-0.031463,3.11128,-3112.99,6266.49,755.236,,,,,,
177,0,0.0182749,-0.0320688,3.11132,-3112.99,6266.51,755.204,,,,,,
178,0,0.0180891,-0.0314552,3.11132,-3113.11,6266.48,755.143,,,,,,
179,0,0.018369,-0.0319179,3.11104,-3112.93,6266.52,755.236,,,,,,
180,0,0.0182132,-0.0320318,3.11118,-3113.06,6266.52,755.212,,,,,,
181,0,0.0180518,-0.0323032,3.11108,-3113.01,6266.54,755.219,,,,,,
182,0,0.0178303,-0.0316296,3.11129,-3112.87,6266.49,755.217,,,,,,
183,0,0.0184008,-0.0321705,3.11111,-3112.98,6266.54,755.221,,,,,,
184,0,0.0166488,-0.0316611,3.11113,-3112.8,6266.5,755.279,,,,,,
185,0,0.0184134,-0.032061,3.11109,-3113.01,6266.51,755.244,,,,,,
186,0,0.0179949,-0.0321238,3.11118,-3112.97,6266.53,755.218,,,,,,
187,0,0.0179159,-0.0313816,3.11132,-3112.94,6266.46,755.22,,,,,,
188,0,0.0183758,-0.031831,3.11113,-3113,6266.51,755.207,,,,,,
189,0,0.0169088,-0.0317134,3.11108,-3112.88,6266.53,755.289,,,,,,
190,0,0.0180682,-0.0320762,3.11112,-3112.96,6266.54,755.238,,,,,,
191,0,0.0193868,-0.0337147,3.11104,-3112.98,6266.59,755.392,,,,,,
192,0,0.0183164,-0.0316389,3.11139,-3113.01,6266.48,755.222,,,,,,
193,0,0.0183209,-0.0316182,3.11109,-3113.04,6266.51,755.203,,,,,,
194,0,0.017803,-0.0316724,3.11136,-3113,6266.49,755.172,,,,,,
195,0,0.0182234,-0.0323711,3.11122,-3112.94,6266.53,755.269,,,,,,
196,0,0.0180895,-0.0323534,3.11111,-3112.99,6266.52,755.199,,,,,,
197,0,0.0186272,-0.0318377,3.11111,-3112.98,6266.53,755.258,,,,,,
