Objects
100
,,Global Angle Racer400:Racer400,,,,,,Global Angle Tello_FCF6BF:Tello_FCF6BF,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
5879,0,0.0183298,-0.0315572,3.11115,-3113.04,6266.45,755.166,-0.0334561,0.0362851,1.53058,-1897.14,2504.74,19.9961
5880,0,0.0182339,-0.032162,3.11104,-3112.9,6266.47,755.208,-0.033316,0.0359807,1.53053,-1897.18,2504.73,19.9839
5881,0,0.0185036,-0.031969,3.11132,-3113.03,6266.44,755.205,-0.0334315,0.0360171,1.5304,-1897.19,2504.77,19.9905
5882,0,0.0177463,-0.0319876,3.11124,-3112.97,6266.47,755.185,-0.0338138,0.0360562,1.53062,-1897.17,2504.74,19.9564
5883,0,0.0180454,-0.0319726,3.11106,-3112.95,6266.47,755.201,-0.0336021,0.0360258,1.53071,-1897.23,2504.77,20.0282
5884,0,0.0183272,-0.0316544,3.11107,-3112.98,6266.46,755.18,-0.0339481,0.0360892,1.53039,-1897.18,2504.74,19.976
5885,0,0.0182853,-0.0321516,3.11102,-3112.94,6266.49,755.216,-0.0340521,0.0360305,1.53039,-1897.22,2504.73,20.0141
5886,0,0.0182228,-0.0321624,3.11129,-3112.99,6266.45,755.206,-0.0336886,0.0357472,1.53055,-1897.2,2504.75,20.0171
5887,0,0.0181261,-0.0316937,3.11124,-3113.04,6266.45,755.172,-0.0337377,0.0356033,1.53055,-1897.17,2504.78,20.067
5888,0,0.0167486,-0.031776,3.1112,-3112.88,6266.44,755.271,-0.0347142,0.0360126,1.53005,-1897.2,2504.75,20.0412
5889,0,0.018333,-0.0322563,3.11114,-3113.08,6266.47,755.165,-0.0342598,0.0352714,1.53018,-1897.22,2504.77,20.0486
5890,0,0.018003,-0.0321198,3.111,-3112.97,6266.48,755.243,-0.034524,0.0350787,1.53048,-1897.21,2504.84,20.0918
5891,0,0.0184975,-0.0317904,3.1112,-3113.07,6266.46,755.197,-0.0346353,0.0350522,1.53117,-1897.3,2504.88,20.1161
5892,0,0.0185762,-0.0321822,3.11113,-3112.98,6266.47,755.249,-0.034062,0.0347467,1.53168,-1897.33,2504.92,20.1409
5893,0,0.0181914,-0.0315766,3.11129,-3113.01,6266.44,755.193,-0.0336609,0.0346131,1.53191,-1897.44,2504.97,20.1927
5894,0,0.0180808,-0.0318252,3.11113,-3112.99,6266.47,755.191,-0.0334188,0.0340868,1.53203,-1897.49,2505.03,20.198
5895,0,0.018089,-0.0322214,3.11128,-3113.1,6266.48,755.164,-0.0341727,0.034308,1.53228,-1897.58,2505.05,20.2291
5896,0,0.0184439,-0.0317877,3.11126,-3113.03,6266.44,755.189,-0.0340719,0.034424,1.5324,-1897.67,2505.13,20.2603
5897,0,0.017962,-0.0318165,3.11115,-3113.05,6266.48,755.174,-0.0342338,0.0348345,1.53224,-1897.81,2505.14,20.2234
5898,0,0.0177895,-0.031555,3.11127,-3112.94,6266.42,755.17,-0.0338519,0.035211,1.53243,-1897.91,2505.18,20.3423
5899,0,0.0180376,-0.0320246,3.1112,-3113.07,6266.47,755.177,-0.0324265,0.0354267,1.53224,-1897.98,2505.28,20.533
5900,0,0.0180582,-0.0320466,3.11125,-3112.97,6266.42,755.232,-0.0307873,0.0356119,1.5324,-1898.08,2505.29,20.7279
5901,0,0.018501,-0.0322512,3.11117,-3112.9,6266.46,755.271,-0.0287294,0.0350057,1.53237,-1898.19,2505.3,20.8891
