Objects
100
,,Global Angle Racer400:Racer400,,,,,,Global Angle Tello_FCF6BF:Tello_FCF6BF,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
5441,0,0.0184646,-0.0319946,3.11113,-3112.98,6266.44,755.252,0.0406483,0.0281805,-1.63124,3038.66,-2508.16,17.2289
5442,0,0.0183061,-0.0322752,3.11122,-3113.05,6266.46,755.236,0.0405807,0.0291407,-1.63195,3038.63,-2508.13,17.2172
5443,0,0.0184528,-0.0315763,3.11117,-3112.98,6266.43,755.217,0.0400863,0.0290653,-1.6318,3038.6,-2508.06,17.2125
5444,0,0.0180294,-0.0315504,3.11116,-3112.97,6266.43,755.224,0.0404695,0.0285462,-1.63144,3038.64,-2508.12,17.2405
5445,0,0.0180316,-0.032207,3.11105,-3112.99,6266.46,755.258,0.0405606,0.028727,-1.63108,3038.66,-2508.16,17.2459
5446,0,0.0188884,-0.0322821,3.11116,-3113.02,6266.47,755.344,0.0402748,0.0284581,-1.63211,3038.6,-2508.14,17.2509
5447,0,0.0180844,-0.0320352,3.11113,-3112.92,6266.44,755.26,0.0402588,0.0275508,-1.63157,3038.61,-2508.16,17.2808
5448,0,0.0190565,-0.0321768,3.11118,-3113.04,6266.45,755.355,0.0400598,0.0284096,-1.63194,3038.63,-2508.14,17.2518
5449,0,0.0166033,-0.0317425,3.1112,-3112.93,6266.44,755.225,0.0403873,0.0281737,-1.63209,3038.66,-2508.08,17.2751
5450,0,0.0180728,-0.032066,3.1112,-3113,6266.46,755.245,0.0412267,0.0292171,-1.6322,3038.63,-2508.12,17.2632
5451,0,0.0180451,-0.0315725,3.11124,-3112.9,6266.43,755.22,0.0400914,0.0282917,-1.63169,3038.63,-2508.16,17.2383
5452,0,0.0179402,-0.0317001,3.11112,-3112.93,6266.45,755.202,0.0406629,0.029473,-1.63213,3038.59,-2508.08,17.2232
5453,0,0.0187252,-0.0322539,3.11103,-3113,6266.46,755.254,0.0402338,0.0282339,-1.63182,3038.66,-2508.12,17.2127
5454,0,0.0182358,-0.0317636,3.11122,-3112.94,6266.43,755.253,0.0405105,0.0278569,-1.63176,3038.64,-2508.13,17.2343
5455,0,0.0170711,-0.0316777,3.11114,-3112.86,6266.44,755.333,0.0395331,0.0287261,-1.63156,3038.6,-2508.16,17.2438
5456,0,0.0188108,-0.032262,3.11108,-3112.97,6266.45,755.274,0.0398768,0.0290746,-1.63205,3038.6,-2508.1,17.2599
5457,0,0.0180297,-0.0317797,3.11109,-3113.07,6266.46,755.199,0.0407815,0.0289325,-1.63104,3038.62,-2508.15,17.2579
5458,0,0.0182906,-0.0321921,3.11121,-3113.03,6266.45,755.22,0.0401397,0.0279626,-1.63173,3038.57,-2508.11,17.2954
5459,0,0.0188248,-0.0319558,3.11108,-3113.03,6266.45,755.258,0.0399154,0.0283121,-1.63194,3038.61,-2508.12,17.2393
5460,0,0.0183655,-0.0321948,3.111,-3112.95,6266.48,755.258,0.0401165,0.0279872,-1.63178,3038.6,-2508.13,17.2508
5461,0,0.017026,-0.031904,3.11127,-3112.87,6266.45,755.292,0.0401355,0.0277637,-1.6318,3038.56,-2508.14,17.3009
5462,0,0.0181323,-0.0313586,3.11136,-3113.04,6266.42,755.189,0.0396895,0.0277915,-1.63205,3038.6,-2508.12,17.2461
5463,0,0.0190556,-0.0324972,3.11121,-3113.01,6266.47,755.372,0.0409383,0.0293262,-1.63129,3038.66,-2508.14,17.1975
5464,0,0.0182121,-0.031765,3.1114,-3113.01,6266.4,755.234,0.0405311,0.0287973,-1.63147,3038.69,-2508.16,17.2064
5465,0,0.0182252,-0.0320397,3.11103,-3113,6266.46,755.23,0.0408743,0.0287393,-1.63177,3038.63,-2508.12,17.2841
5466,0,0.0181297,-0.0318923,3.11118,-3113.04,6266.44,755.176,0.0407945,0.0290957,-1.6322,3038.58,-2508.08,17.2329
5467,0,0.0181846,-0.0321023,3.11114,-3112.96,6266.44,755.245,0.0405798,0.0296221,-1.63167,3038.61,-2508.11,17.2039
5468,0,0.018078,-0.0320138,3.1112,-3113,6266.46,755.189,0.0400176,0.0281259,-1.63186,3038.6,-2508.14,17.2558
5469,0,0.0185485,-0.0322067,3.11106,-3113.04,6266.47,755.253,0.040559,0.0294445,-1.63174,3038.54,-2508.06,17.2233
5470,0,0.0182805,-0.0321428,3.11135,-3113.05,6266.44,755.231,0.0402668,0.0287645,-1.63122,3038.63,-2508.16,17.2253
5471,0,0.0181505,-0.0322909,3.11107,-3113.04,6266.48,755.242,0.0405052,0.0284055,-1.6313,3038.6,-2508.13,17.2694
5472,0,0.018244,-0.0318448,3.11119,-3112.96,6266.42,755.22,0.0403159,0.0291257,-1.63251,3038.54,-2508.12,17.2213
5473,0,0.0185811,-0.031564,3.11115,-3113.05,6266.44,755.19,0.04032,0.0286399,-1.63263,3038.63,-2508.21,17.1943
5474,0,0.0185666,-0.0319525,3.11109,-3113.05,6266.46,755.202,0.0406377,0.0289188,-1.63145,3038.62,-2508.08,17.2399
5475,0,0.018137,-0.0319513,3.1112,-3112.95,6266.44,755.235,0.040021,0.0287559,-1.63171,3038.61,-2508.13,17.2415
