Objects
100
,,Global Angle Racer400:Racer400,,,,,,Global Angle Tello_FCF6BF:Tello_FCF6BF,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
5484,0,0.0181423,-0.0322027,3.11097,-3113.01,6266.45,755.255,0.0124499,0.0332105,-0.0468024,2995.04,2592.37,42.818
5485,0,0.0182287,-0.0316829,3.11133,-3112.99,6266.4,755.268,0.0130757,0.0328417,-0.0466134,2995.03,2592.37,42.867
5486,0,0.0183439,-0.0319563,3.1112,-3112.88,6266.41,755.284,0.0128033,0.0331032,-0.0466178,2995.09,2592.36,42.8276
5487,0,0.018317,-0.0323225,3.11108,-3112.95,6266.45,755.296,0.0128343,0.0329579,-0.0472468,2995.1,2592.38,42.814
5488,0,0.0182078,-0.0321913,3.111,-3112.82,6266.43,755.306,0.0129875,0.0329327,-0.0469127,2995.03,2592.37,42.8556
5489,0,0.0185139,-0.0316201,3.11107,-3112.95,6266.42,755.308,0.0124844,0.0331714,-0.0461922,2994.96,2592.36,42.8954
5490,0,0.0186815,-0.0317797,3.11113,-3112.91,6266.41,755.327,0.0128726,0.032457,-0.0473926,2995.09,2592.39,42.8171
5491,0,0.0182949,-0.0320725,3.11105,-3112.87,6266.44,755.29,0.0131551,0.0325073,-0.0467973,2994.97,2592.38,42.9372
5492,0,0.0187441,-0.0323849,3.11098,-3113.06,6266.47,755.257,0.0131534,0.0336411,-0.0471835,2995.11,2592.36,42.8272
5493,0,0.0189909,-0.0324275,3.11092,-3113,6266.48,755.383,0.0127262,0.0332539,-0.0471043,2995.08,2592.35,42.8458
5494,0,0.0182447,-0.0322053,3.11107,-3112.91,6266.45,755.264,0.0127873,0.0333251,-0.0467843,2995.07,2592.39,42.8597
5495,0,0.0188404,-0.0321296,3.11115,-3113.03,6266.47,755.381,0.0129518,0.0323607,-0.0468761,2995.04,2592.37,42.8683
5496,0,0.0186826,-0.0322107,3.11109,-3112.95,6266.44,755.314,0.0130499,0.0326529,-0.0467729,2995.06,2592.43,42.8454
5497,0,0.0192221,-0.032293,3.1112,-3113.05,6266.45,755.393,0.0125547,0.0331487,-0.0474239,2995.15,2592.28,42.8312
5498,0,0.016769,-0.0316291,3.11137,-3112.92,6266.39,755.309,0.012572,0.0328084,-0.0469531,2995.05,2592.18,42.8848
5499,0,0.0182998,-0.0314605,3.11118,-3112.94,6266.39,755.283,0.0120202,0.0323833,-0.0475075,2995.02,2591.99,43.0975
5500,0,0.0186176,-0.0324435,3.11113,-3112.93,6266.45,755.315,0.0124455,0.0337245,-0.0473003,2995.04,2592.21,42.8162
5501,0,0.0182204,-0.0316314,3.11125,-3112.94,6266.4,755.261,0.0120806,0.0334167,-0.0472564,2995.01,2592.18,42.8625
5502,0,0.0186545,-0.0323611,3.1111,-3112.96,6266.43,755.307,0.0121949,0.0336769,-0.0471036,2995.04,2592.18,42.8469
5503,0,0.0178829,-0.0321154,3.11103,-3112.89,6266.42,755.289,0.0120292,0.0333985,-0.047193,2995.03,2592.17,42.8386
5504,0,0.0185082,-0.0320195,3.11122,-3112.9,6266.42,755.301,0.0125942,0.0324351,-0.046941,2994.99,2592.3,42.8851
5505,0,0.0185254,-0.0320675,3.11116,-3113.05,6266.43,755.274,0.0121969,0.0334885,-0.0473366,2994.99,2592.15,42.8735
5506,0,0.0180981,-0.0318488,3.11118,-3112.84,6266.41,755.296,0.0122368,0.0328316,-0.0470624,2995,2592.2,42.8825
5507,0,0.0165167,-0.0316306,3.11117,-3112.91,6266.44,755.266,0.0121661,0.0330652,-0.0474225,2995.08,2592.22,42.8292
5508,0,0.0186871,-0.0321108,3.11113,-3113.08,6266.43,755.275,0.0129023,0.0332017,-0.0469383,2995.07,2592.19,42.8491
5509,0,0.0179402,-0.0316464,3.1113,-3112.85,6266.4,755.26,0.0121637,0.033227,-0.0472846,2995.03,2592.21,42.8455
5510,0,0.0186272,-0.0322285,3.11104,-3112.95,6266.45,755.292,0.0117551,0.0343026,-0.0480098,2995.08,2591.97,42.5736
5511,0,0.0166732,-0.0316217,3.11114,-3112.95,6266.43,755.271,0.0121163,0.0326106,-0.0473759,2995.05,2592.15,42.8827
5512,0,0.0182427,-0.0321071,3.11117,-3113.02,6266.44,755.274,0.0130387,0.0330257,-0.0466008,2995,2592.44,42.845
5513,0,0.0182909,-0.0320434,3.11123,-3112.9,6266.43,755.272,0.0120496,0.032839,-0.0472978,2995.05,2592.11,42.9177
5514,0,0.0181486,-0.0315811,3.11127,-3112.99,6266.4,755.265,0.0125449,0.0324176,-0.0477429,2995,2592.09,43.1145
