time,tello_x,tello_y,tello_z,tello_rx,tello_ry,tello_rz,tello_rw,vicon_x,vicon_y,vicon_z,vicon_rx,vicon_ry,vicon_rz,vicon_rw
1582303797166237379,0.0160006787628,0.0119813336059,-0.00504241511226,0.999999344349,-0.000989025109448,0.000595526886173,-0.000266301765805,-1.81719038144,-2.20787244068,0.0158059798826,-0.00859558906953,-0.00869814612805,0.708588737671,0.705515739689
1582303797265945220,0.0159997772425,0.0119826728478,-0.00504209287465,0.999999344349,-0.000985715421848,0.000576650374569,-0.000232146601775,-1.81718301944,-2.20785400661,0.0157944182138,-0.00847355723665,-0.00869151668706,0.708605977533,0.705499982261
1582303797315930234,0.0159997772425,0.0119826728478,-0.00504209287465,0.999999344349,-0.000985715421848,0.000576650374569,-0.000232146601775,-1.81723032283,-2.20789984114,0.0158117511233,-0.00824602413111,-0.00874195434168,0.708554778608,0.705553475671
1582303797365992253,0.0159997772425,0.0119826728478,-0.00504209287465,0.999999344349,-0.000948732427787,0.000583298155107,-0.000208617013413,-1.81719193619,-2.20786891396,0.0157982901418,-0.00842270036389,-0.0087620308743,0.708607325284,0.705498365333
1582303797465986443,0.0159998964518,0.0119825638831,-0.00504197599366,0.999999344349,-0.000962769787293,0.000590208102949,-0.000242780006374,-1.81719691836,-2.20787479464,0.0158107281268,-0.00833594890097,-0.00872941806251,0.708551515395,0.70555585126
1582303797476080874,0.0159998964518,0.0119825638831,-0.00504197599366,0.999999344349,-0.000962769787293,0.000590208102949,-0.000242780006374,-1.81718564514,-2.20787255633,0.0158056570427,-0.00837167680908,-0.00872248089165,0.70856295243,0.705544028249
1582303797566131825,0.0159998964518,0.0119825638831,-0.00504197599366,0.999999344349,-0.000978981843218,0.000599505321588,-0.000230897159781,-1.81722825482,-2.20790405811,0.0158224350424,-0.00842607616971,-0.00873779331099,0.70854181278,0.705564420695
1582303797676061884,0.0159989725798,0.0119832502678,-0.00504327891394,0.999999344349,-0.000977706164122,0.000619720201939,-0.000216574597289,-1.8172218359,-2.20788789154,0.0158173780446,-0.00838584347343,-0.0086738243007,0.708564272467,0.705543134177
1582303797685922217,0.0159989725798,0.0119832502678,-0.00504327891394,0.999999344349,-0.000977706164122,0.000619720201939,-0.000216574597289,-1.81721150419,-2.2078760479,0.0158124464684,-0.00844094993146,-0.00863558527661,0.708585875019,0.705521250392
1582303797726215404,0.0159989725798,0.0119832502678,-0.00504327891394,0.999999344349,-0.00094775587786,0.000613558571786,-0.000232700404013,-1.8171950444,-2.20785984104,0.0158064178195,-0.00852792369874,-0.00871028927424,0.708621764134,0.705483239187
1582303797825950713,0.015999821946,0.0119824148715,-0.00504255946726,0.999999344349,-0.000980238197371,0.000595348479692,-0.000241900415858,-1.81719764016,-2.20785270931,0.0158062941792,-0.00856800813202,-0.00868382712183,0.708584353133,0.705520655175
1582303797876005102,0.015999821946,0.0119824148715,-0.00504255946726,0.999999344349,-0.000980238197371,0.000595348479692,-0.000241900415858,-1.81723242581,-2.20788518126,0.015821618191,-0.00844549205602,-0.00869883157653,0.708531190768,0.705575336659
