Objects
100
,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
79,0,-0.00666014,-0.0267905,3.09405,-2101.95,-4187.2,12.5871
80,0,-0.00636379,-0.0265946,3.09407,-2101.95,-4187.2,12.584
81,0,-0.00634121,-0.0265673,3.09405,-2101.95,-4187.2,12.5815
82,0,-0.0062785,-0.0265523,3.09407,-2101.96,-4187.19,12.5844
83,0,-0.00638357,-0.0266049,3.09416,-2101.95,-4187.19,12.587
84,0,-0.00741102,-0.0277049,3.09393,-2101.97,-4187.18,12.5584
85,0,-0.00737963,-0.027537,3.09406,-2101.97,-4187.18,12.576
86,0,-0.00739476,-0.0273817,3.09399,-2101.96,-4187.19,12.5781
87,0,-0.00716252,-0.0273482,3.09404,-2101.96,-4187.19,12.5828
88,0,-0.00680572,-0.0271643,3.09409,-2101.96,-4187.19,12.5849
89,0,-0.00769193,-0.0278807,3.09397,-2101.97,-4187.18,12.5557
90,0,-0.00756161,-0.0277524,3.09397,-2101.97,-4187.18,12.5708
91,0,-0.00743815,-0.0274154,3.09404,-2101.96,-4187.19,12.5766
92,0,-0.00774124,-0.0277701,3.09411,-2101.95,-4187.19,12.5829
93,0,-0.00740508,-0.0275028,3.09416,-2101.95,-4187.19,12.5906
94,0,-0.00705522,-0.0272424,3.09419,-2101.96,-4187.2,12.5908
95,0,-0.00724526,-0.0271504,3.09418,-2101.96,-4187.19,12.5912
96,0,-0.0066883,-0.0269155,3.09417,-2101.96,-4187.19,12.5871
97,0,-0.00690188,-0.0270658,3.09414,-2101.96,-4187.2,12.5951
98,0,-0.00706119,-0.0270455,3.09408,-2101.96,-4187.2,12.5942
99,0,-0.00718192,-0.0271419,3.09406,-2101.94,-4187.19,12.591
100,0,-0.0070527,-0.0271169,3.09407,-2101.96,-4187.2,12.5971
101,0,-0.00769523,-0.0278227,3.09383,-2101.97,-4187.18,12.5637
102,0,-0.0074335,-0.0274571,3.094,-2101.96,-4187.19,12.5779
103,0,-0.0070155,-0.0272217,3.09402,-2101.96,-4187.19,12.5803
104,0,-0.00213151,-0.0213226,3.09449,-2101.99,-4187.26,12.6487
