time,tello_x,tello_y,tello_z,tello_rx,tello_ry,tello_rz,tello_rw,vicon_x,vicon_y,vicon_z,vicon_rx,vicon_ry,vicon_rz,vicon_rw
1582649641274283430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.41614486912,-2.43233451541,0.0147861499466,0.0100311472347,-0.0161668855514,0.720027376178,0.693684788251
1582649641284846006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.41614591711,-2.43233566096,0.0147803826966,0.0100815112145,-0.0161796327912,0.72002512134,0.693686101384
1582649641304331508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.41615363201,-2.43232507455,0.0147730693076,0.0101364533968,-0.0161581271959,0.720065019765,0.69364438623
1582649641364808971,0.0159989837557,0.0120261693373,-0.00494001992047,0.999998748302,0.00101162237115,-0.00111486052629,0.000503566116095,-1.41615000603,-2.43233774181,0.0147754420351,0.0100552049285,-0.0160902918903,0.720061815471,0.693650471968
1582649641415234285,0.0159989837557,0.0120261693373,-0.00494001992047,0.999998748302,0.00101162237115,-0.00111486052629,0.000503566116095,-1.41615645039,-2.43233059923,0.0147751473593,0.0100201059908,-0.0160621102467,0.720039846138,0.693674438093
1582649641464274372,0.0159989837557,0.0120261693373,-0.00494001992047,0.999998807907,0.000999729847535,-0.00110935524572,0.000483411742607,-1.41615170561,-2.43234057651,0.0147825480998,0.01015113111,-0.0160763893149,0.720070994032,0.69363986895
1582649641514240707,0.0159989837557,0.0120261693373,-0.00494001992047,0.999998807907,0.000999729847535,-0.00110935524572,0.000483411742607,-1.41620237092,-2.43238068625,0.0148497446953,0.0101059562578,-0.0159687215372,0.720078226919,0.693635507091
1582649641565079851,0.0159996151924,0.0120252538472,-0.00494020245969,0.999998807907,0.00100541266147,-0.0011061161058,0.000481025112094,-1.41615685688,-2.43233077014,0.0147770459863,0.0100228628387,-0.0161371852222,0.720058928312,0.693652847779
1582649641614334239,0.0159996151924,0.0120252538472,-0.00494020245969,0.999998807907,0.00100541266147,-0.0011061161058,0.000481025112094,-1.4161484576,-2.43233376309,0.0147645177618,0.0101737251105,-0.0161618376619,0.720060537406,0.693648407185
1582649641664988954,0.0159996151924,0.0120252538472,-0.00494020245969,0.999998807907,0.000993293826468,-0.0011010505259,0.000477793306345,-1.41615669241,-2.43233802023,0.0147658141666,0.0100588301811,-0.0161151058408,0.720024473892,0.693688604703
1582649641715489904,0.0159996151924,0.0120252538472,-0.00494020245969,0.999998807907,0.000993293826468,-0.0011010505259,0.000477793306345,-1.41616438145,-2.43232766115,0.0147631112367,0.010120341447,-0.0161052192568,0.720020163186,0.693692413976
1582649641764393994,0.0159998051822,0.012025010772,-0.00494017684832,0.999998748302,0.00101292459294,-0.0011089858599,0.000466923520435,-1.41616101751,-2.43232379393,0.0147614082574,0.0100740062983,-0.0161138922443,0.720028961358,0.693683754804
1582649641775296606,0.0159998051822,0.012025010772,-0.00494017684832,0.999998748302,0.00101292459294,-0.0011089858599,0.000466923520435,-1.41620328498,-2.43229650854,0.0147951571581,0.0102059602181,-0.0160420349247,0.720019665936,0.693693139765
1582649641824625145,0.0159998051822,0.012025010772,-0.00494017684832,0.999998807907,0.00101339188404,-0.0011134641245,0.000448211329058,-1.41614729228,-2.43232477258,0.0147658014505,0.0100216918894,-0.0161056454587,0.720068887682,0.693643259081
1582649641874314810,0.0159998051822,0.012025010772,-0.00494017684832,0.999998807907,0.00101339188404,-0.0011134641245,0.000448211329058,-1.41616950622,-2.43232193212,0.0147657625976,0.0100887542996,-0.016093575704,0.720037874375,0.693674760478
1582649641924641491,0.0160007737577,0.0120239425451,-0.0049396418035,0.999998807907,0.0010127206333,-0.00112536340021,0.000432937929872,-1.41617294737,-2.43234292364,0.0147741411868,0.0100526640955,-0.0161047202538,0.720008490076,0.693705525529
1582649641975473635,0.0160007737577,0.0120239425451,-0.0049396418035,0.999998807907,0.0010127206333,-0.00112536340021,0.000432937929872,-1.41616133821,-2.43234981357,0.014781078116,0.0100634613148,-0.0160977647089,0.720074337944,0.693637179332
1582649642024283383,0.0160007737577,0.0120239425451,-0.0049396418035,0.999998748302,0.00102964928374,-0.00113826722372,0.000413944944739,-1.4161719478,-2.4323514737,0.0147999762082,0.0101125358267,-0.0161835634851,0.720039228604,0.693670914889
1582649642074571073,0.0160007737577,0.0120239425451,-0.0049396418035,0.999998748302,0.00102964928374,-0.00113826722372,0.000413944944739,-1.4161610006,-2.43236090706,0.0148003678277,0.0100845565031,-0.0160652761774,0.720073881724,0.69363809979
1582649642125399301,0.0160016622394,0.0120229497552,-0.00493918452412,0.999998807907,0.00105164339766,-0.00111187598668,0.000391003617551,-1.41615656593,-2.43232946888,0.0147766317594,0.0101309780431,-0.01611534602,0.72006247786,0.693648100181
1582649642174476101,0.0160016622394,0.0120229497552,-0.00493918452412,0.999998807907,0.00105164339766,-0.00111187598668,0.000391003617551,-1.41614752967,-2.43233881245,0.014769415181,0.0100609585881,-0.0161397786438,0.72001315192,0.693699751853
1582649642225227059,0.0160016622394,0.0120229497552,-0.00493918452412,0.999998748302,0.0010537878843,-0.00113429722842,0.000407388317399,-1.416162759,-2.43233036966,0.0147693969068,0.0100757941652,-0.0160646000078,0.720079718319,0.6936321837
1582649642274355202,0.0160016622394,0.0120229497552,-0.00493918452412,0.999998748302,0.0010537878843,-0.00113429722842,0.000407388317399,-1.4161568232,-2.432344977,0.0147739801004,0.010107466004,-0.0160881364206,0.720052813133,0.693659107412
