Objects
100
,,Global Angle Racer400:Racer400,,,,,,Global Angle Tello_FCF6BF:Tello_FCF6BF,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
7571,0,0.00724768,-0.0134124,0.010807,-3133.14,6311.29,756.196,0.0118709,0.0453511,-0.0585272,3009.54,2594.3,117.253
7572,0,0.00721233,-0.0129283,0.0112379,-3133.16,6311.29,756.244,0.0123652,0.0484456,-0.0590562,3008.23,2594.01,123.697
7573,0,0.00680367,-0.0103569,0.00333268,-3134.13,6311.56,756.123,0.00762264,0.0558136,-0.0605429,3007.75,2593.18,129.805
7574,0,0.00697276,-0.0112746,0.0096833,-3133.67,6311.36,756.236,0.00730064,0.0611207,-0.060004,3006.8,2593.07,136.493
7575,0,0.00708472,-0.0120908,0.0104825,-3133.28,6311.26,756.256,0.00493982,0.0661835,-0.0613074,3006.45,2592.17,142.977
7576,0,0.00716938,-0.0125708,0.0104649,-3133.24,6311.29,756.255,0.00547303,0.0689602,-0.0593456,3006.07,2592.4,149.662
7577,0,0.0070631,-0.0115284,0.0107399,-3133.74,6311.35,756.145,0.00163896,0.0740797,-0.0600768,3005.2,2591.72,156.838
7578,0,0.00705424,-0.0120224,0.0109828,-3133.21,6311.23,756.242,0.00152911,0.0772903,-0.0608195,3004.29,2591.61,164.163
7579,0,0.00720675,-0.0117109,0.0102625,-3133.67,6311.37,756.187,-0.000282286,0.0792503,-0.0605263,3003.41,2590.94,171.436
7580,0,0.00737799,-0.0115636,0.0101511,-3133.34,6311.28,756.235,0.000377804,0.0779617,-0.0602972,3003.49,2590.73,178.605
7581,0,0.00721841,-0.0117421,0.0106139,-3133.66,6311.36,756.158,0.000312242,0.0805296,-0.0603871,3002.78,2590.58,186.081
7582,0,0.00714482,-0.0117526,0.010223,-3133.72,6311.34,756.14,-0.00130039,0.0804319,-0.060545,3002.1,2589.99,193.538
7583,0,0.00719069,-0.0130641,0.0108788,-3133.25,6311.31,756.158,0.000668542,0.0776564,-0.0590321,3002.11,2590.3,201.226
7584,0,0.00695323,-0.0119434,0.010487,-3133.28,6311.25,756.269,-0.00156701,0.0758112,-0.0594032,3001.75,2589.79,208.938
7585,0,0.00743128,-0.0123513,0.0108005,-3133.24,6311.28,756.25,-0.000701119,0.07279,-0.0599378,3001.88,2589.96,216.616
7586,0,0.00732777,-0.0133555,0.0113697,-3133.3,6311.3,756.162,-0.00149192,0.0708838,-0.0598975,3001.8,2589.63,224.336
7587,0,0.00711369,-0.0129521,0.0110224,-3133.18,6311.24,756.183,-0.00398804,0.0700196,-0.0618014,3001.43,2588.91,232.059
7588,0,0.00737971,-0.0127827,0.0110967,-3133.18,6311.28,756.281,-0.00183854,0.0656997,-0.0600469,3001.41,2589.38,240.113
7589,0,0.00711763,-0.0113436,0.0105429,-3133.8,6311.35,756.108,-0.00323762,0.0615906,-0.060616,3001.54,2588.8,247.999
7590,0,0.00701373,-0.0123925,0.0104942,-3133.26,6311.25,756.238,-0.00269091,0.0572109,-0.0597848,3002.13,2588.82,255.744
7591,0,0.00695729,-0.0121497,0.010654,-3133.26,6311.26,756.295,-0.00289341,0.0561581,-0.0595499,3001.43,2588.97,264.228
7592,0,0.00723191,-0.0117698,0.0103828,-3133.66,6311.35,756.189,-0.00500261,0.0525251,-0.0602866,3001.5,2588.61,272.429
