Objects
100
,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
189,0,-0.0159652,-0.0266799,3.1519,-1473.77,-4087.72,7.93913
190,0,-0.0157278,-0.0264361,3.15186,-1473.77,-4087.72,7.9399
191,0,-0.0156957,-0.0263197,3.15194,-1473.77,-4087.72,7.94381
192,0,-0.0158796,-0.0265485,3.15187,-1473.77,-4087.72,7.94252
193,0,-0.0156628,-0.0263353,3.15198,-1473.77,-4087.73,7.94431
194,0,-0.0155754,-0.026169,3.15197,-1473.77,-4087.73,7.94529
195,0,-0.0156066,-0.0262564,3.15199,-1473.76,-4087.73,7.94056
196,0,-0.0155645,-0.0262028,3.152,-1473.76,-4087.73,7.94289
197,0,-0.0157185,-0.0264342,3.15201,-1473.76,-4087.73,7.94088
198,0,-0.015522,-0.0261482,3.15205,-1473.76,-4087.73,7.94296
199,0,-0.0154257,-0.0259755,3.15205,-1473.76,-4087.73,7.94375
200,0,-0.0157904,-0.0262603,3.15203,-1473.76,-4087.72,7.94398
201,0,-0.0159725,-0.0263842,3.15203,-1473.76,-4087.72,7.94532
202,0,-0.0158688,-0.0261996,3.15199,-1473.77,-4087.73,7.95056
203,0,-0.0157981,-0.0263176,3.15197,-1473.77,-4087.73,7.95055
204,0,-0.0157629,-0.0262215,3.15197,-1473.77,-4087.72,7.94649
205,0,-0.015537,-0.0262555,3.15202,-1473.77,-4087.72,7.94393
206,0,-0.0153964,-0.0260458,3.15201,-1473.77,-4087.72,7.94712
207,0,-0.0155114,-0.0261498,3.152,-1473.77,-4087.72,7.94804
208,0,-0.0153569,-0.0259616,3.15199,-1473.77,-4087.72,7.95298
209,0,-0.0157249,-0.0263359,3.15197,-1473.77,-4087.72,7.95212
210,0,-0.0156169,-0.0261458,3.15202,-1473.77,-4087.72,7.95193
211,0,-0.015335,-0.0259958,3.15202,-1473.77,-4087.73,7.94261
212,0,-0.0156662,-0.0261439,3.15198,-1473.77,-4087.73,7.9425
213,0,-0.0156796,-0.0261149,3.15192,-1473.77,-4087.72,7.94743
214,0,-0.0158436,-0.0264956,3.15188,-1473.78,-4087.72,7.94546
215,0,-0.0155104,-0.0262101,3.15195,-1473.77,-4087.73,7.9479
216,0,-0.0154321,-0.0261686,3.15197,-1473.78,-4087.73,7.94534
217,0,-0.0157289,-0.0265155,3.15201,-1473.77,-4087.72,7.94325
218,0,-0.0155261,-0.0262554,3.15202,-1473.77,-4087.72,7.94281
219,0,-0.0155577,-0.0264012,3.15209,-1473.77,-4087.73,7.94195
220,0,-0.0157384,-0.0265566,3.15209,-1473.77,-4087.72,7.94002
221,0,-0.015635,-0.026365,3.152,-1473.77,-4087.72,7.94261
222,0,-0.0158517,-0.026379,3.15192,-1473.77,-4087.72,7.94623
223,0,-0.0159235,-0.0263831,3.15183,-1473.76,-4087.73,7.94586
224,0,-0.0158783,-0.0265394,3.1519,-1473.76,-4087.72,7.94233
225,0,-0.0158804,-0.0264824,3.15192,-1473.76,-4087.72,7.93943
226,0,-0.0153452,-0.0260553,3.15193,-1473.77,-4087.73,7.94232
227,0,-0.015351,-0.0260848,3.15194,-1473.77,-4087.72,7.93993
228,0,-0.0156567,-0.0262473,3.15193,-1473.77,-4087.72,7.94112
